"#Gene Name(s)"	"PlasmoDB ID"	"PubMed ID"	"Localisation and Timing"	"Sequence identification"	"Staining Type"	"Microscope Type"	"Quote"	"Strain"	"Comment"	"Comment 2"
"#PvRBP-1"	"Pv098585"	14984838	"Erythrocyte surface upon invasion"		"that's the same as merozoite surface?"				"this paper shows binding to uninfected RBCs but does not show localisation"	
"#PvRBP-2"	"Pv121920"	14984838	"Erythrocyte surface upon invasion"	"imperfect assembly here? Genbank AF184623 doesn't quite fit, but still e-value=0"					"this paper shows binding to uninfected RBCs but does not show localisation"	
"#PvDBP"		12706804	"Erythrocyte surface upon invasion"						"this paper merely discusses homologues and shows inidirect rbc binding"	
"Pv41"	"PVX_000995"	18983983	"parasite surface during schizont"	"taken directly from 18983983"	"Light"	"polyclonal antibody to whole protein"	"We have also demonstrated Pv41 transcription and expression during late intra-erythrocytic parasite stages and defined its subcellular localization on the parasite surface."	"VCG-I"	"The Vivax-Colombia Guaviare I (VCG-I) P. vivax strain"	
"Pvs25"	"PVX_111175"	11083773	"intracellular during zygote"	"Blast from EU024471, annotation matches"	"Light"	"polyclonal antibody"	"Furthermore, IFA revealed that both anti-Pvs25 and anti-Pvs28 antisera stained the surface of mature ookinetes...The results of IFA (Fig. 5B) show that anti-Pvs25 serum stained intracellular regions of zygotes and anti-Pvs28 stained the surface of ookinetes"		"Couldn't figure out how the stained from methods section"	
"Pvs28"	"PVX_111175"	11083773	"ookinete surface"	"Annotation only"	"Light"	"polyclonal antibody"	"Furthermore, IFA revealed that both anti-Pvs25 and anti-Pvs28 antisera stained the surface of mature ookinetes...The results of IFA (Fig. 5B) show that anti-Pvs25 serum stained intracellular regions of zygotes and anti-Pvs28 stained the surface of ookinetes"		"Couldn't figure out how the stained from methods section"	
"PvCTRP"	"PVX_095475"	16822707	"apical during ookinete"	"Blast from AB247369"	"Light"	"antibody to orthologue"	"we determined the PvCTRP and PyCTRP nucleotide sequences and show protein expression in ookinete stages that is localized to the apical region."	"Plasmodium vivax ""field isolate"""	"Blast shows possibly incorrect gene model"	
"PvMSP4"	"PVX_003775"	11897127	"surface during mature schizont"	"Blast from AF403475, annotation matches"	"Light"	"polyclonal antibody"	"Indirect IFA analysis of thin smears of mature and segmented P. vivax schizonts localized expression of PvMSP4 to the merozoite surface as was to be expected based on previous results with antibodies to PfMSP4."	"Plasmodium vivax (Belem"	"strain information not found"	
"PvMSP5"	"PVX_003770 "	11897127	"apical and not surface during merozoite"	"Blast from AF403476, annotation matches"	"Light"	"polyclonal antibody"	"Surprisingly, the pattern of fluorescent reactivity with antisera to PvMSP5 was not consistent with the bunch of grapes surface rim pattern typically seen with antibodies to MSP1, MSP2, MSP3, MSP4, or that reported for P. falciparum MSP5. Instead, the pattern seen consistently with either rabbit (Fig. 4B and E) or mouse (not shown) PvMSP5 antisera was that of a localization exhibiting as a single large dot or spot of fluorescence at the apical end of the merozoite."	"Plasmodium vivax (Belem"	"strain information not found"	
"PvDBP"	"PVX_110810"	11897127	"microneme during mature schizont"	"Annotation only"	"Light"	"monoclonal antibody (mAb1C10)"	"In an attempt at finer discrimination of a potential organellar location, we performed two-color IFA using rabbit anti-PvMSP5, monoclonal antibody (mAb) 1C10 against the P. vivax duffy binding protein (PvDBP) (Fig. 4C), which is located in micronemes, and mAb 4E1 ( Fig. 4F), which recognizes a 105 kDa antigen in the paired rhoptry organelles."		"strain information not found"	
