"#Protein common name"	"Gene Model ID"	"PMID"	"Localisation"	"GenBank Accession Mapping notes"	"Microscopy Type"	"Tag Type"	"Quote"	"Strain"	"Comments"	
"#CpSCRP"		11228014	"microneme"	"AF061328"					"not actually localised"	
"#SPLA(2)"		12783305				"polyclonal antibody to homologue"			"strain information not found"	"no microscopy done"
"#"		17981348	"microneme during freshly excised sporozoite"		"Light"	"monoclonal antibody TOU"	"To investigate the possible micronemal localization of CpTSP8, we performed dual label immunofluorescence on freshly excysted C. parvum sporozoites using the SP1 antiserum and the biotin-labeled mAb TOU [12], which is specific for C. parvum micronemes."		"no sequence known yet"	
"#CPV40"		18372626	"cytoplasm during sporozoite"		"Light"	"monoclonal antibody to whole protein"	"This 40-kDa protein was localized in the sporozoite cytoplasm by immunofluorescence (IFA) staining with MAbCPV40-1"	"Iowa"	"not a C. parvum protein, but a protein of a virus that infection C. parvum"	
"gp-15, GP15, gp15"									"these common names refer to the same gene"	
"CpSFP-PPT, CpPPTase"									"these common names refer to the same gene"	
"GP15"		1705238	"surface during sporozoite, weak surface during extracellular sporozoite, not during oocyst"		"Light, EM"	"monoclonal antibody"	"Photomicrograph displaying immunofluorescence of surface of sporozoites of C. parvum in the presence of MAb5C3 followed by a goat anti-mouse FITC-conjugated polyvalent immunoglobulin. ... Fixation of sporozoites within oocysts was poor, but the sporozoite surfaces were observed to label intensely (not shown). Free sporozoites were also labeled, but fewer gold particles were found associated with these stages than with sporozoites within oocysts (not shown)."	"KSU-1"		
"CpFAS1 Type I"	"cgd3_2180"	10693747	"cytosol and perinuclear during sporozoite"	"blast from AF082993, annotation matches"	"Light"	"polyclonal antibody directly to protein"	"Using rabbit polyclonal antibodies, both free sporozoites and intracellular stages of C. parvum were labelled by immunofluorescent, or immunochemical microscopy. This Type I FAS in C. parvum could be observed intracellularly, and primarily within the perinuclear region (data not shown)."	"KSU-1, Iowa"	"Pictures not shown in paper"	
"CpSFP-PPT"	"cgd8_4740"	16002647	"cytosol during sporozoite and merozoite containing meront"	"blast from AY856092, annotation matches, gene model inconsistent?"	"Light"	"polyclonal antibody directly to protein"	"The CpSFP-PPT protein was also detected in the cytosol of all parasite life cycle stages by indirect immunofluorescence microscopy (Fig. 6), which agrees with the lack of any signal peptide sequence and is congruent with the cytosolic nature of its substrates (CpFAS1 and CpPKS1) (44)."	"IOWA"		
"CpSUB1"	"cgd6_4840"	19168760	"apical and apical surface during merozoite and sporozoite"	"blast from CAD98301.1, annotation matches, gene model inconsistent?"	"Light"	"polyclonal antibody directly to protein"	"In immunofluorescence assays, the antiserum reacted with the apical region of sporozoites and merozoites."	"Iowa"		
"CpPKS1"	"cgd4_2900"	12406578	"cytosol during sporozoite"	"blast from AAN60755.1, annotation matches"	"Light"	"polyclonal antibody to CKHENSIEFNDKDCMKRNLVC"	"Like CpFAS1 protein (Zhu et al., 2000c), the CpPKS1 protein appears to be cytosolic. However, CpPKS1 seems to be distributed more along the anterior half of the sporozoites ( Fig. 6D)."	"KSU-1"		
"Cpn60, CpCpn60"	"cgd6_4970"	12928750	"Relict mitochondrian during sporozoite"	"blast from AAC32614, annotation matches"	"EM"	"polyclonal antibody directly to protein"	"Sequence and phylogenetic analyses indicated that CpCpn60 is a mitochondrial isotype and that antibodies against it localize to the rough endoplasmic reticulum-enveloped remnant organelle of C. parvum sporozoites. These data show this organelle is of mitochondrial origin."	"KSU-1, Iowa"	"a GFP tagged Cpn60 presequence was also assessed by light microscopy, but in yeast only"	
"Hsp60"	"cgd6_4970"	15267107	"Mitochondrion-like structure during free sporozoite and unexcysted sporozoite"	"blast from AF529276.1, annotation matches"	"light, EM"	"antibody to homologue"	"Here we characterize a mitochondrion-like organelle in C. parvum by (i) ultrastructural and morphological description (ii) localization of heterologous mitochondrial chaperonin antibody probes"	"Iowa"		
"TRAP-C1"	"cgd1_3500"	9574918	"apical during sporozoite"	"blast from AAC48311, annotation matches"	"Light"	"polyclonal antibody directly to protein"	"TRAP-C1 is localised in the apical end of C. parvum sporozoites and is structurally related to the micronemal proteins MIC2 of Toxoplasma and Etp100 of Eimeria, which are involved in host-cell attachment and/or invasion."	"Moredun"		
"CpMIC1, CpTSP8"	"cgd6_780"	17981348	"microneme during sporozoite and type I merozoite, surface during sporozoite"	"blast from AF061328.3, annotation matches"	"Light"	"polyclonal antibody directly to protein"	"Immunofluorescence analysis detected CpTSP8 in the apical complex of both sporozoites and type I merozoites, and showed that, upon sporozoite exposure to host cells in vitro, the protein is translocated onto the parasite surface as typical of micronemal proteins (MICs). Accordingly, double immunofluorescence localized CpTSP8 to C. parvum micronemes, prompting us to rename it CpMIC1 in agreement with the current MICs nomenclature."	"Moredun"		
"CP2"		15557601	"apical during sporozoite, dense band and anterior vacuole during sporozoite internalization"		"light, EM"	"polyclonal antibody directly to protein"	"Both 4E9 (a monoclonal antibody which recognizes microneme-associated gp900 and gp40 proteins) and CP2 (an antibody against membranous structures) also showed strong staining in the apical region of control sporozoites (B1 and C1, arrowheads) or those that were maintained at 4°C for 2 h (B2 and C2, arrowheads), but not in sporozoites that were maintained at 37°C for 2 h (B3 and C3, arrows)."	"Iowa"		
"CpABC"	"cgd1_700"	10318953	"feeder organelle during intracellular meront"	"blast from AF110147, annotation matches"	"Light"	"polyclonal antibody directly to protein"	"CpABC localizes at the host–parasite interface in intracellular stages."	"KSU-1"	"In sporozoites, CpABC is localized internally in an area posterior to the nucleus that is electron dense when visualized by phase contrast microscopy (data not shown)."	
"CpGbp"	"cgd1_3530"	19428660	"nucleus during sporozoite"	"blast from AY189527, annotation matches"	"Light"	"monoclonal antibody"	"Confocal microscopy analysis with anti-CpGbp antibody localized CpGbp proteins to the nucleus"	"Iowa"		
