"#Protein common name"	"GenBank ID"	"PMID"	"Localisation"	"GenBank Accession Mapping notes"	"Microscopy Type"	"Tag Type"	"Quote"	"Strain"	"Comments"
"HSP70, Tamthsp70"	"TA14920"	10894469	"mitochondria and cytosol and host cell cytosol during schizont"	"blast from AY271268, annotation matches"	"light, EM"	"polylonal antibody"	"Immunoelectron microscopy showed that the hsp70 protein was predominantly localized in the mitochondria of the parasites"		
"TaSE"	"TA20205"	17659384	"host cell cytoplasm, parasite cytoplasm, parasite plasma membrane"	"blast from AJ512174.2, annotation matches, inconsistent gene model?"	"Light"	"polyclonal antibody directly to protein"	"TaSE was found to be localized inside the parasite, the parasite membrane and within the host cell cytoplasm. Moreover, it co-localized at distinct points with host cell microtubules, which was especially apparent during mitosis, where co-localization was found with the centromere, the mitotic spindle and the midbody."		"strain information not found"
"TaD"	"TA19865"	15490238	"host cell cytoplasm, parasite cytoplasm, parasite plasma membrane"	"blast from AJ512215, annotation matches"	"Light"	"polyclonal antibody directly to protein"	"Using confocal microscopy, the protein was found to be both located in the parasite cytoplasm and to colocalize with a transmembrane protein of the schizonts within infected cells"		
"TaCKIIalpha"	"TA10630"	12891701	"parasite cytoplasm, not host cell"	"blast from Q4U925, annotation matches"	"Light"	"polylonal antibody"	"In corroboration immunofluorescence investigations suggest that the TaCKIIalpha subunit is confined to the parasite schizonts within the host cell."		
"SuAT1"	"TA03135"	15075278	"nucleus during macroschizont"	"blast from CAE53332, annotation matches"	"Light"	"polylonal antibody"	"The polypeptide is localized to the nuclei of macroschizont-infected cells and was detected at significant levels in cells that were undergoing parasite stage differentiation."		
"TashAT1"	"TA20085"	11683409	"host cell nucleus"	"blast from AJ291829, annotation matches"	"Light"	"polyclonal antibody "	"When anti-TashAT1/3 was used in IFAT analysis of the T. annulata-infected cells, D7B12 and D7 (Fig. 3C,D), immunoreactivity was observed against the macroschizont, displaying a punctate pattern of dots that may represent reactivity with or the region surrounding parasite nuclei, and against the host cell nucleus"		"antibody cross reacts with tashAT3"
"TashAT2"	"TA20095"	10413048	"host cell nucleus"	"blast from AJ132045, annotation matches"	"Light"	"C-terminal GFP"	"Transient transfection of COS7 cells with this construct (pEGFP-tashAT2) (Fig. 6A) resulted in fluorescence that was restricted to the host "		"host cell directly transfected with parasite gene to test nLS"
"TashAT2"		10413048	"host cell nucleus"		"Light"	"polyclonal antibody "	"Antisera generated against two distinct regions of TashAT2 both located the antigen to the host cell nucleus and, combined with protein translation inhibition and immunoprecipitation studies, provide evidence that this polypeptide could be transported from the parasite to this location"		
"TashAT3"	"TA20082"	11683409	"host cell nucleus"	"blast from AJ291830, annotation matches"	"Light"	"polyclonal antibody "	"When anti-TashAT1/3 was used in IFAT analysis of the T. annulata-infected cells, D7B12 and D7 (Fig. 3C,D), immunoreactivity was observed against the macroschizont, displaying a punctate pattern of dots that may represent reactivity with or the region surrounding parasite nuclei, and against the host cell nucleus"		"antibody cross reacts with tashAT1"
"TaCRK3"	"TA06730"	11733137	"nucleus during macroschizont"	"blast from X98768, annotation matches"	"Light"	"polyclonal antibody "	"It has a putative bipartite nuclear localization signal and is located to parasite nuclei by IFAT."		
"#TaSP"		20162433							"Theileria protein expressed in host cell, not from the parasite"
"Ta-gp34"	"TA06510"	20381541	"surface during schizont, not during merogeny"	"taken directly from publication"	"Light"	"polyclonal antibody directly to protein"	"gp34 is expressed at the surface of the schizont. … gp34 expression is downregulated during merogony"	"TaC12"	
"PIM"	"TA17315"	20381541	"surface during schizont"	"blast from homologue AAA18800"	"Light"	"monoclonal antibody"	"the mAbs anti-PIM and 1C12 were used as markers for the parasite surface;"	"TaC12"	
"#TamR1"		20381541	"not during schizont, during merogeny"		"Light"	"polyclonal antibody "	"The upper panels show a gp34-expressing schizont that had not yet started differentiation and is negative for the differentiation marker TamR1. The parasite depicted in the lower panels expresses TamR1, but has ceased to express gp34;"	"TaC12"	"localisation not annunciated"
