"#Protein common name"	"GenBank ID"	"PMID"	"Localisation"	"mapping comments"	"Microscopy Type"	"Tag Type"	"Quote"	"Strain"	"Comments"	"Comments2"
"EtMIC4"	"ETH_00024085"	11566298	"apical and surface during sporozoite, apical during intracellular sporozoite, not during developing schizont, not during enlarging schizont, cytoplasm and surface during mature schizont, apical during merozoite"	"blast from AJ306453, gene model inconsistent?"	"Light"	"polyclonal antibody directly to protein"	"(A) Intracellular sporozoites show apical staining. (B,C) Developing and enlarging schizonts, which still have the central refractile body and no merozoite differentiation, do not stain. (D) In maturing schizonts, as merozoites bud from the schizont, EtMIC4 staining is seen in the central region and around the edge, where the merozoite tips are located. (E) As the schizont reaches bursting point, staining is clearly associated with the apical tips of the merozoites. ... We examined the surface localisation and secretion of EtMIC4, together with that of EtMIC1, another sporozoite microneme protein which contains TSP-1-like repeats and has the same conserved TM-CT sequence as EtMIC4. In methanol-permeabilised, freshly-hatched sporozoites ( Fig. 5), it can be seen that both EtMIC1 and EtMIC4 are localised predominantly within the apical tip of the parasite. However, in paraformaldehyde-fixed, non-permeabilised sporozoites, EtMIC4 is readily detected on the surface, whereas EtMIC1 staining is absent."	"Wis"		
"EtMIC1"	"ETH_00026625"	11566298	"apical and not surface during sporozoite"	"blast from EU093966"	"Light"	"monoclonal antibody"	"We examined the surface localisation and secretion of EtMIC4, together with that of EtMIC1, another sporozoite microneme protein which contains TSP-1-like repeats and has the same conserved TM-CT sequence as EtMIC4. In methanol-permeabilised, freshly-hatched sporozoites ( Fig. 5), it can be seen that both EtMIC1 and EtMIC4 are localised predominantly within the apical tip of the parasite. However, in paraformaldehyde-fixed, non-permeabilised sporozoites, EtMIC4 is readily detected on the surface, whereas EtMIC1 staining is absent."	"Wis"		
"EtMIC5"	"ETH_00021655"	10717305	"apical and not surface during isolated extracellular sporozoite, surface during host-cell exposed extracellular sporozoite, not during intracellular sporozoite, cytoplasm during after sporozoite invasion, peripheral and apical during early merozoite"	"blast from AJ245536"	"Light"	"polyclonal antibody directly to protein"	"In isolated sporozoites (Fig. 3B) EtMIC 5 is within the apical tip of the parasite and detected only after permeabilisation of the parasite membrane. There is no surface staining of parasites fixed with PFA. However, when sporozoites are added to host cells ( Fig. 3C), EtMIC 5 is clearly detectable on the surface of PFA-fixed extracellular sporozoites (Esp), most dominantly at the apical end. In contrast, intracellular sporozoites (Isp) do not stain, demonstrating the efficacy of the PFA treatment for cross-linking plasma membranes. ... After invasion, EtMIC 5 is found within the sporozoite, concentrated mainly at the apical tip. As sporozoites develop into immature schizonts (Panels BﾖD, note the single, fused refractile body diagnostic of early schizogony), EtMIC 5 is initially found throughout the whole schizont (Fig. 4B) then disperses ( Fig. 4C) and eventually disappears ( Fig. 4D). This staining sequence suggests that EtMIC 5 in the early schizont represents residual protein that was brought in by the invading sporozoite. No further staining is seen until late in schizogony, after nuclear division and cytoplasmic differentiation, when daughter merozoites are nearing maturation. EtMIC 5 is then detected strongly at the periphery of the schizont ( Fig. 4E) and is clearly associated with the apical third of the newly formed merozoites ( Fig. 4F)."			
"EtMIC2"	"ETH_00006930"	11071285	"apical and not sporozoite surface during sporozoite, sporozoite surface during sporozoite invasion, host cell surface during sporozoite invasion and after sporozoite invasion"	"blast from Z71755"	"EM"	"polyclonal antibody directly to protein"	"Extensive ﾑtrailsﾒ of microneme protein antigens were seen on the monolayer, apparently released from the posterior end of gliding sporozoites. The trails were mainly serpentine in pattern (Fig. 2a) and they often led to a sporozoite, or a sporozoite-infected cell. In some cases, the trail finished abruptly just before the point of parasite invasion ( Fig. 2b) and some newly infected cells could be seen to have EtMIC2 dispersed all over their surface ( Fig. 2c). Similar patterns of staining were seen with antibodies against EtMIC1, EtMIC5 and whole micronemes (data not shown)."	"Wis"		
"EtMIC3"	"ETH_00021010"	15694485	"not during early first generation schizont and early second generation schizont, apical during mature first generation schizont and mature second generation schizont, microneme during sporozoites"		"Light"	"monoclonal antibody"	"A specific immunostaining was observed in mature first-generation schizonts (Fig. 3C), with a labelling at the apex of the neoformed merozoites. It is interesting to observe that early first-generation schizonts were not stained at all (Fig. 3C). Mature second-generation schizonts were obtained after intestinal scrapings of four-day infected chickens. A specific staining at the apex of the second-generation neoformed merozoites was also shown inside the schizont with mAb A6 (Fig. 3D). As we observed with mAb A6, labelling with mAb N8 disappeared in immature schizonts and was again observed at the mature stage when merozoites are formed. Labelling was also concentrated at the apical end of the first- and second-generation merozoites (data not shown)."			
"EtMIC2"		15694485	"microneme"		"Light"	"polyclonal antibody directly to protein"	"As control, we have used a rabbit serum raised against the microneme protein EtMIC2."			
"EtENR"	"ETH_00000185"	17112527	"apicoplast during sporozoite and first generation merozoite and second generation merozoite, reduced apicoplast during early microgamete, not during mature macrogamete, apicoplast during macrogamete and oocyst"	"blast from AY566297"	"Light, EM"	"polyclonal antibody directly to protein"	"When sporozoites were examined by immunocytochemistry, a small EtENR positive apicoplast was observed adjacent to the nucleus (Fig. 3a and b). Occasionally sporozoites (<5%) were observed with two or three apicoplasts, often on opposite sides of the nucleus (Fig. 3a). The EtENR signal appeared to colocalise with a small DAPI positive structure consistent with the structure of the apicoplast (Fig. 3bﾖd). ... All the mature first and second generation merozoites in the gut appeared to contain at least one small EtENR positive apicoplast (Fig. 3f). ... These appearances correlated with the spherical multi-membrane apicoplasts identified by EM (Fig. 4a and b). In addition, immunoelectron microscopy confirmed that the EtENR protein was located within these structures (Fig. 4c). ... Macrogametocyte development. In contrast to the microgametocytes, there was strong anti-EtENR staining of enlarged lobated apicoplast/s located adjacent to the large single nucleus during the early stages of development (Fig. 7bﾖi)"			
"EtMIC2"		17112527	"microneme during merozoite"		"Light"	"polyclonal antibody directly to protein"	"(f) Merozoite showing the apical labelling of the micronemes with anti-EtMIC2 (red) and the EtENR positive apicoplast (arrow) adjacent to the nucleus (N). ﾅ Large or multiple EtENR positive apicoplasts were still present within developing oocysts identified by the formation of the oocyst wall (Fig. 7h)."			
"EtSAG4"		17112527	"surface during merozoite, not during microgamete, not during macrogamete"		"Light"	"polyclonal antibody directly to protein"	"(e) Merozoite for the gut lumen showing the surface labelling with anti-EtSAG4 (red) and three EtENR positive (green) apicoplasts (arrows) around the nucleus (blue). ﾅ (f) Similar stage to that in d showing the strongly staining apicoplast with the macrogametocyte (Ma) and the weakly staining structure (arrowhead) within the microgametocyte (Mi). Neither sexual stage is stained with anti-EtSAG4. "			
"EtSAG1"	"ETH_00010835"	15287593	"surface during extracellular sporozoite, reduced during intracellular sporozoite"	"blast from AJ586531"	"Light"	"polyclonal antibody directly to protein"	"(A) Coverslip reacted with anti-EtSAG1 showing strongly labelled extracellular sporozoites (EC) but much reduced staining of intracellular parasites (IC)."	"H"		
"EtSAG13"	"ETH_00013175"	15287593	"surface during extracellular sporozoite"	"blast from AJ586543"	"Light"	"polyclonal antibody directly to protein"	"(D) Coverslip reacted with anti-EtSAG13 in which there is strong labelling of the extracellular (EC) and reduced staining of the intracellular (IC) parasites."	"H"		
"EtSAG4"	"ETH_00010780"	15287593	"surface during second generation merozoite"	"blast from AJ586535"	"Light"	"polyclonal antibody directly to protein"	"(E) Section of the caecum reacted with anti-EtSAG4 showing a number of mature second generation schizonts in which the surface of the merozoites is positively stained."	"H"		
"EtSAG8"	"ETH_00035000"	15287593	"surface during second generation merozoite"	"blast from AJ586537"	"Light"	"polyclonal antibody directly to protein"	"(F) Section reacted with anti-EtSAG8 showing the positive labelling of the surface of the merozoites released from the second generation schizonts."	"H"		
"EtSAG1"		19387686	"surface during extracellular sporozoite and intracellular sporozoite"		"Light"	"monoclonal antibody"	"IFAT using mAb 2H10E3 identified the location of the corresponding antigen on the surface both of free (extracellular) sporozoites and of sporozoites after invasion into the cell (Fig.ﾠ3). Interestingly, intracellular staining has revealed a fluorescent trail behind the sporozoite, which disappeared after more than 8ﾠh post-infection (Fig.ﾠ3bﾖd). This observation indicates antigen shedding outside and inside the infected cells."	"strain information not found"		
